name,phone,address,no_address,days,hours,general_topic,tags,city,state,zip_code,web_site,notes
S. AZ Gender Alliance,5204777096,2030 EAST BROADWAY,0,,,LGBTQ,['LGBTQ'],Tuscon,AZ,85719,http://www.sagatucson.org/,
Our Town Family Center,5203231708,2590 N. Alvernon Way,0,,,Young Adult,"['Young Adult', 'Legal Services', 'Shelter', 'Domestic Violence']",Tuscon,AZ,85712,https://www.ourfamilyservices.org/,
CoverAZ,8003773536,,1,,,Health Insurance,,,,,http://coveraz.org/,
AHCCCS,8005280142,,1,,,Health Insurance,,,,,www.healthearizonaplus.gov,
AHCCCS Freedom to Work,8006548713,,1,,,Health Insurance,,,,,,
AZ Long Term Care (ALTCS),5202058600,1010 N Finance Center Dr STE 201,0,"M,T, W, Th, F",7:30 am - 5:00 pm,Health Insurance,,Tucson,AZ,85710,,
KidsCare ,8003773536,,1,,,Health Insurance,"['Adolescent', 'Young Adult']",,,,http://coveraz.org/kidscare-enrollment/,
Medicare Premium Cost Sharing (QMB/SLMB/QI),8005280142,,1,,,Health Insurance,,,,,,Apply at ALTCS
Pima Council on Aging,5205462011,8467 E Broadway Blvd,0,"M, T, W, Th, F",8:30 am - 5:00 pm,Health Insurance,['Elder'],,,,,
UA Mobile Health Clinic,5206260178,,1,,,Health Insurance,,,,,,
Pima County WIC Program,5207929890,839 W Congress St,0,,,Health Insurance,['Food and Nutrition'],Tucson,AZ,85745,,located inside El Rio Health
Pima County WIC Program,5207247777,3950 S Country Club Rd,0,"T, W, Th, F",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85714,,
Pima County WIC/Food Plus,15207247777,4500 N Old Romero Rd,0,"T, W, Th, F, Sat",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85705,,
Pima County WIC,15207247777,1390 W Speedway Blvd,0,,,Health Insurance,['Food and Nutrition'],Tucson,AZ,85745,,
WIC Program at Erickson,15206166213,6750 E Stella Rd,0,"T, Th",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85730,,
MHC WIC at The Womens Center,15207247777,2055 W Hospital Dr,0,,,Health Insurance,['Food and Nutrition'],Tucson,AZ,85704,,
"Arizona Women, Infants, and Children (WIC)",15206166213,13395 N Marana Main St,0,,,Health Insurance,['Food and Nutrition'],Marana,AZ,85653,,
MHC Healthcare WIC Program at Clinica del Alma,15206166760,3690 S Park Ave #805,0,"M, T, W, Th, F, Sat",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85713,,
Arizona Department of Economic Security,,316 W Fort Lowell Rd,0,"M, T, W, Th, F",7:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85705,des.az.gov,
Arizona Department of Economic Security,15206290225,100 N Stone Ave #500b,0,Temporarily Closed,,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85701,des.az.gov,
Arizona Department of Economic Security,,400 W Congress St,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85701,des.az.gov,
Arizona Department of Economic Security,,1455 S Alvernon Way,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85711,des.az.gov,
Arizona Department of Economic Security,15207900107,899 N Wilmot Rd c7,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Public Benefits,"['Employment', 'Child Support', 'Food and Nutrition', 'Health Insurance']",Tucson,AZ,85711,des.az.gov,
